,postcode,X-koordinaatti metrein�,Y-koordinaatti metrein�,Postinumeroalueen pinta-ala,"Asukkaat yhteens�, 2017 (HE)"
677,21930,253626,6750295,122206169,528
678,22100,108075,6683478,10455231,11688
679,22120,106021,6686296,15185690,891
680,22130,102061,6688112,59486186,848
681,22140,111668,6684950,14312476,1167
682,22150,109970,6690858,54714583,1862
683,22160,109923,6674439,11198996,364
684,22220,105057,6697318,37089062,389
685,22240,98656,6698467,131774927,1503
686,22270,90145,6698483,103343644,918
687,22310,108119,6702667,38412695,529
688,22320,114257,6707313,49151346,851
689,22330,111412,6710549,34044407,334
690,22340,107318,6715113,89878021,479
691,22410,111264,6697697,32963408,1549
692,22430,119856,6705650,89248827,714
693,22520,122756,6700741,48663146,503
694,22530,123067,6696645,58214500,516
695,22550,133643,6697057,82012956,402
696,22610,117888,6677064,94587492,1529
697,22630,125370,6683753,39020845,404
698,22710,141106,6672430,112338610,523
699,22720,148277,6682950,14913807,86
700,22730,162742,6660609,37003072,232
701,22810,150431,6691611,12448281,33
702,22820,156705,6696479,36569391,191
703,22830,156020,6705811,13266733,75
704,22840,164783,6703429,17468178,57
705,22910,173068,6705177,6601364,86
706,22920,172629,6711990,19717447,151
707,22930,166851,6717518,9479487,30
708,22940,174510,6719076,11813296,89
709,22950,175079,6724596,7059329,40
710,23100,230334,6746394,466491380,6181
711,23120,221291,6730811,28569211,885
712,23140,218412,6733989,29993348,682
713,23200,213313,6740466,106957225,1586
714,23210,210969,6735740,78819688,590
715,23260,211746,6731571,19547389,178
716,23310,203517,6728229,141410151,1640
717,23360,193938,6724211,157509263,903
718,23390,187445,6706368,57329753,205
719,23450,197363,6740075,109314481,970
720,23500,197160,6756976,149603920,11420
721,23600,206323,6753492,114208737,2220
722,23660,203016,6748336,44980668,394
723,23800,216464,6761708,494784519,8069
724,23840,212403,6765891,6247141,259
725,23880,219012,6767299,1733353,106
726,23930,190946,6767760,81966252,535
727,23950,201279,6768923,46232071,542
728,23960,198890,6774228,18785744,238
729,24100,288265,6699904,19183434,9017
730,24130,286544,6695463,57574213,3771
731,24240,285789,6706078,19185670,3922
732,24260,288890,6707918,41659847,4367
733,24280,290939,6703036,18122813,5079
734,24800,283614,6703724,30667947,4639
735,24910,280562,6703117,27458076,1142
