,Talotyyppi,m2,Vh,em2,Rv,Krs,Hissi,Kunto,Tontti,postcode,X,Y,PA,Asukkaat,vaestontiheys
165,kt,8400,678000,8071,1927,3/6,on,hyvä,oma,120,385614,6671378,414010,7108,0.017168667423492188
166,kt,10200,625000,6127,1927,4/5,on,huono,oma,120,385614,6671378,414010,7108,0.017168667423492188
167,kt,9750,949906,9743,1905,6/6,on,tyyd.,oma,120,385614,6671378,414010,7108,0.017168667423492188
168,kt,11300,925000,8186,1903,2/3,on,hyvä,oma,120,385614,6671378,414010,7108,0.017168667423492188
169,kt,11550,940000,8139,1984,8/7,on,hyvä,oma,120,385614,6671378,414010,7108,0.017168667423492188
170,kt,9600,815000,8490,1938,2/7,on,hyvä,oma,120,385614,6671378,414010,7108,0.017168667423492188
171,kt,19300,1551200,8037,1892,3/4,on,hyvä,oma,120,385614,6671378,414010,7108,0.017168667423492188
172,kt,10400,720000,6923,1907,1/4,ei,tyyd.,oma,120,385614,6671378,414010,7108,0.017168667423492188
173,kt,11450,848000,7406,2000,5/8,ei,tyyd.,oma,120,385614,6671378,414010,7108,0.017168667423492188
174,kt,7500,680000,9067,1927,4/5,on,hyvä,oma,120,385614,6671378,414010,7108,0.017168667423492188
175,kt,16900,1365000,8077,1905,3/5,on,tyyd.,oma,120,385614,6671378,414010,7108,0.017168667423492188
176,kt,17500,1435000,8200,1924,3/5,on,hyvä,oma,120,385614,6671378,414010,7108,0.017168667423492188
177,kt,10150,750000,7389,1904,4/4,ei,tyyd.,oma,120,385614,6671378,414010,7108,0.017168667423492188
178,kt,5950,430000,7227,1927,4/4,ei,tyyd.,oma,130,386228,6671492,428960,1508,0.003515479298769116
179,kt,5100,570000,11176,1962,3/7,on,hyvä,oma,130,386228,6671492,428960,1508,0.003515479298769116
180,kt,5500,485000,8818,1927,2/6,on,hyvä,oma,130,386228,6671492,428960,1508,0.003515479298769116
181,kt,11900,795000,6681,1890,1/4,ei,tyyd.,oma,130,386228,6671492,428960,1508,0.003515479298769116
182,kt,14100,1390000,9858,1928,2/5,on,hyvä,oma,130,386228,6671492,428960,1508,0.003515479298769116
183,kt,11540,886000,7678,1927,3/7,on,tyyd.,oma,130,386228,6671492,428960,1508,0.003515479298769116
